Marca,Modelo,Ano,Cor,País,Preço (€),Tipo
Mercedes,GLA,2019,Azul,França,83908,Novo
Mercedes,GLA,2021,Preto,Portugal,71679,Novo
Audi,A3,2020,Preto,Itália,49255,Novo
Ford,Mondeo,2018,Prata,Polônia,23173,Novo
Audi,Q5,2020,Prata,Polônia,55084,Novo
Renault,Captur,2022,Azul,França,16649,Novo
Volkswagen,Polo,2022,Branco,Portugal,44735,Novo
Peugeot,208,2021,Preto,Polônia,34407,Novo
Ford,Mondeo,2022,Cinza,Países Baixos,39776,Novo
Ford,Kuga,2021,Vermelho,Itália,26743,Novo
Renault,Clio,2019,Azul,Países Baixos,15268,Novo
Mercedes,GLC,2018,Cinza,Reino Unido,74687,Novo
Peugeot,208,2019,Preto,Polônia,38305,Novo
BMW,X3,2019,Verde,Alemanha,53934,Novo
BMW,X3,2022,Preto,Polônia,56420,Novo
Renault,Talisman,2020,Azul,Portugal,34740,Novo
Mercedes,GLA,2022,Branco,Reino Unido,36703,Novo
Volkswagen,Passat,2018,Cinza,Polônia,35942,Novo
Ford,Fiesta,2019,Azul,Alemanha,34488,Novo
Fiat,500,2018,Preto,Portugal,27520,Novo
BMW,Serie 1,2021,Preto,Reino Unido,77588,Novo
Ford,Mondeo,2020,Preto,Reino Unido,17821,Novo
Mercedes,Classe C,2019,Cinza,Reino Unido,63097,Novo
Audi,A3,2020,Prata,Polônia,30389,Novo
BMW,Serie 5,2019,Azul,Espanha,60200,Novo
Peugeot,3008,2019,Branco,Polônia,29350,Novo
Audi,A3,2020,Preto,Polônia,73672,Novo
Renault,Megane,2021,Branco,Países Baixos,20184,Novo
Fiat,Punto,2018,Preto,França,21559,Novo
Peugeot,308,2019,Prata,Alemanha,21895,Novo
Audi,A4,2022,Cinza,Alemanha,34851,Novo
Mercedes,GLC,2020,Vermelho,Itália,52263,Novo
Fiat,Panda,2022,Branco,Espanha,15017,Novo
Audi,Q5,2019,Preto,Itália,69196,Novo
Audi,Q3,2020,Branco,Reino Unido,39056,Novo
Ford,Focus,2021,Preto,Polônia,18669,Novo
Ford,Fiesta,2022,Preto,Itália,27140,Novo
Volkswagen,Polo,2021,Preto,França,29293,Novo
Audi,Q5,2021,Cinza,França,38214,Novo
Ford,Mondeo,2021,Preto,Reino Unido,30313,Novo
Renault,Talisman,2020,Branco,Países Baixos,31223,Novo
Audi,A3,2021,Branco,Alemanha,53566,Novo
Audi,Q5,2018,Branco,Polônia,73412,Novo
Mercedes,GLC,2018,Verde,França,69181,Novo
BMW,X3,2021,Vermelho,França,44129,Novo
Renault,Talisman,2022,Preto,Itália,31656,Novo
Ford,Focus,2019,Azul,Alemanha,35763,Novo
Renault,Clio,2018,Verde,Polônia,17192,Novo
Fiat,Tipo,2020,Cinza,Polônia,13679,Novo
Ford,Fiesta,2018,Branco,Portugal,37151,Novo
Audi,A3,2018,Prata,Portugal,68127,Novo
BMW,Serie 5,2021,Vermelho,França,34171,Novo
Volkswagen,Polo,2018,Prata,Portugal,32168,Novo
BMW,X1,2020,Prata,Alemanha,33190,Novo
Peugeot,308,2021,Cinza,Países Baixos,22070,Novo
BMW,Serie 3,2022,Preto,Portugal,65248,Novo
Peugeot,5008,2019,Azul,Espanha,30634,Novo
Fiat,Punto,2021,Cinza,Itália,17940,Novo
Fiat,Punto,2021,Cinza,Portugal,16327,Novo
BMW,Serie 3,2022,Cinza,Alemanha,58798,Novo
Renault,Talisman,2019,Branco,Alemanha,16406,Novo
Fiat,Panda,2022,Preto,Itália,25412,Novo
BMW,Serie 3,2018,Prata,Reino Unido,57915,Novo
BMW,X1,2022,Cinza,Países Baixos,71573,Novo
Peugeot,308,2018,Cinza,Itália,28286,Novo
Mercedes,Classe A,2021,Branco,Alemanha,81071,Novo
Mercedes,GLC,2019,Branco,Espanha,54294,Novo
Renault,Clio,2018,Branco,Polônia,28188,Novo
Volkswagen,Golf,2021,Branco,Portugal,33129,Novo
Renault,Captur,2018,Prata,Países Baixos,33312,Novo
Volkswagen,Golf,2019,Prata,Portugal,26946,Novo
Renault,Captur,2022,Azul,Espanha,16444,Novo
Volkswagen,Passat,2018,Cinza,Portugal,43790,Novo
Fiat,Punto,2018,Preto,Alemanha,24168,Novo
BMW,X1,2020,Vermelho,Polônia,72732,Novo
Renault,Captur,2021,Preto,Polônia,30899,Novo
Fiat,Panda,2022,Prata,Polônia,22719,Novo
Ford,Mondeo,2021,Cinza,Reino Unido,38423,Novo
BMW,X3,2022,Azul,Portugal,68254,Novo
Mercedes,Classe A,2019,Vermelho,Itália,84187,Novo
BMW,Serie 1,2021,Branco,Itália,50115,Novo
Ford,Mondeo,2021,Branco,Polônia,33070,Novo
Ford,Fiesta,2020,Preto,Polônia,36009,Novo
Peugeot,5008,2018,Cinza,Alemanha,36007,Novo
Volkswagen,Polo,2021,Prata,Espanha,19524,Novo
Fiat,Panda,2022,Verde,Portugal,18416,Novo
Fiat,500,2019,Azul,Alemanha,14575,Novo
Fiat,Tipo,2021,Preto,Itália,25903,Novo
Volkswagen,Tiguan,2021,Verde,Alemanha,36846,Novo
Fiat,Tipo,2022,Prata,Espanha,17060,Novo
Peugeot,208,2018,Cinza,Alemanha,21034,Novo
Ford,Fiesta,2018,Vermelho,Alemanha,26839,Novo
Fiat,Punto,2022,Cinza,Itália,23148,Novo
Peugeot,208,2020,Azul,Portugal,35854,Novo
Renault,Talisman,2022,Azul,França,15933,Novo
Mercedes,Classe A,2019,Vermelho,Reino Unido,52611,Novo
Renault,Talisman,2019,Vermelho,Polônia,29181,Novo
Ford,Kuga,2021,Preto,Polônia,35018,Novo
Mercedes,GLA,2022,Preto,França,80861,Novo
BMW,X1,2021,Branco,Alemanha,74712,Novo
Audi,A3,2019,Vermelho,Itália,83315,Novo
Fiat,Tipo,2021,Branco,Países Baixos,15469,Novo
Mercedes,GLC,2018,Preto,Itália,87584,Novo
Ford,Kuga,2022,Vermelho,Portugal,33411,Novo
Renault,Talisman,2022,Cinza,Reino Unido,20840,Novo
Mercedes,GLA,2018,Azul,Itália,59977,Novo
Renault,Clio,2018,Prata,França,18199,Novo
Renault,Talisman,2021,Preto,Itália,29041,Novo
Mercedes,GLA,2020,Cinza,Alemanha,52229,Novo
BMW,Serie 3,2022,Branco,Alemanha,44779,Novo
Mercedes,GLA,2018,Verde,Portugal,78842,Novo
Renault,Captur,2019,Azul,Alemanha,19420,Novo
Ford,Mondeo,2020,Vermelho,Polônia,17175,Novo
Ford,Focus,2022,Preto,Reino Unido,18924,Novo
Mercedes,Classe A,2022,Preto,Reino Unido,78161,Novo
BMW,X1,2019,Branco,Portugal,43022,Novo
Volkswagen,Golf,2021,Azul,Países Baixos,19465,Novo
Fiat,Tipo,2022,Branco,Alemanha,17336,Novo
Mercedes,GLC,2021,Cinza,Polônia,79207,Novo
Fiat,500,2022,Preto,Países Baixos,25916,Novo
Fiat,Tipo,2020,Prata,França,25717,Novo
Fiat,Panda,2021,Preto,Itália,24450,Novo
Renault,Clio,2019,Preto,Itália,15868,Novo
Audi,A4,2019,Prata,Portugal,32146,Novo
Fiat,Punto,2022,Branco,França,21735,Novo
Mercedes,GLA,2020,Preto,Reino Unido,86114,Novo
Ford,Mondeo,2019,Branco,Polônia,24414,Novo
Ford,Fiesta,2018,Preto,Alemanha,18345,Novo
Peugeot,5008,2019,Vermelho,Espanha,20959,Novo
Renault,Clio,2020,Branco,Alemanha,34350,Novo
Fiat,500,2022,Cinza,Espanha,21390,Novo
Audi,A3,2018,Cinza,França,52944,Novo
BMW,X3,2018,Branco,Reino Unido,47106,Novo
Renault,Captur,2018,Cinza,Portugal,20700,Novo
Peugeot,3008,2021,Azul,Reino Unido,31061,Novo
Peugeot,3008,2021,Cinza,França,25840,Novo
Renault,Clio,2021,Cinza,Portugal,19727,Novo
Mercedes,GLA,2020,Cinza,França,37685,Novo
Volkswagen,Golf,2018,Branco,Espanha,18622,Novo
Renault,Talisman,2018,Branco,Alemanha,15416,Novo
Fiat,Punto,2021,Azul,Países Baixos,16193,Novo
Fiat,500,2018,Vermelho,Espanha,22973,Novo
Audi,A4,2019,Cinza,Reino Unido,31622,Novo
BMW,X3,2021,Azul,Espanha,65977,Novo
Mercedes,Classe A,2019,Vermelho,Itália,35037,Novo
Renault,Talisman,2020,Branco,Polônia,34580,Novo
Peugeot,5008,2019,Branco,Países Baixos,30211,Novo
Ford,Mondeo,2019,Preto,Espanha,22260,Novo
BMW,Serie 3,2019,Cinza,Países Baixos,72399,Novo
Audi,A4,2020,Branco,Espanha,58691,Novo
BMW,X1,2020,Azul,Espanha,58170,Novo
Audi,Q3,2021,Preto,Países Baixos,46278,Novo
Ford,Kuga,2019,Branco,Itália,25508,Novo
Renault,Talisman,2018,Branco,Países Baixos,20497,Novo
Mercedes,GLC,2021,Azul,Polônia,38955,Novo
Peugeot,208,2019,Vermelho,Itália,20052,Novo
BMW,X3,2019,Cinza,Itália,33876,Novo
Audi,Q3,2019,Preto,Portugal,51519,Novo
Volkswagen,Tiguan,2021,Branco,França,29476,Novo
Audi,A4,2020,Vermelho,Itália,59197,Novo
Ford,Focus,2019,Preto,Polônia,24264,Novo
BMW,Serie 3,2021,Branco,Polônia,42308,Novo
Ford,Focus,2021,Cinza,Portugal,21470,Novo
Audi,A3,2019,Vermelho,Portugal,39003,Novo
BMW,X3,2020,Preto,Alemanha,74816,Novo
Renault,Captur,2021,Cinza,Reino Unido,27957,Novo
Peugeot,3008,2019,Preto,Itália,26086,Novo
Ford,Fiesta,2019,Preto,Países Baixos,18101,Novo
Audi,Q5,2020,Branco,Itália,40426,Novo
BMW,Serie 5,2019,Prata,Polônia,78233,Novo
Peugeot,308,2018,Azul,Espanha,31701,Novo
Peugeot,3008,2022,Preto,Alemanha,38071,Novo
Volkswagen,Polo,2019,Vermelho,Polônia,44778,Novo
Volkswagen,Polo,2020,Branco,Portugal,26422,Novo
Fiat,Punto,2019,Preto,Reino Unido,13339,Novo
Audi,A3,2018,Preto,Espanha,67150,Novo
Peugeot,308,2020,Branco,Itália,26707,Novo
Volkswagen,Tiguan,2022,Preto,Países Baixos,18087,Novo
Fiat,Panda,2021,Cinza,Reino Unido,23205,Novo
Audi,A4,2018,Branco,Itália,38226,Novo
Mercedes,GLC,2021,Vermelho,Portugal,83568,Novo
Ford,Fiesta,2019,Branco,Reino Unido,35693,Novo
Fiat,Panda,2020,Preto,Reino Unido,19477,Novo
Mercedes,Classe A,2018,Verde,Alemanha,58628,Novo
Peugeot,3008,2018,Azul,Portugal,22370,Novo
Ford,Kuga,2021,Branco,Reino Unido,20543,Novo
Volkswagen,Golf,2021,Preto,Reino Unido,39560,Novo
Fiat,500,2020,Prata,Países Baixos,16288,Novo
Fiat,500,2019,Branco,Itália,18597,Novo
Audi,Q3,2022,Prata,Itália,44395,Novo
Ford,Mondeo,2020,Azul,França,37500,Novo
Volkswagen,Tiguan,2020,Vermelho,Espanha,43898,Novo
Fiat,Tipo,2020,Preto,Polônia,22142,Novo
Renault,Megane,2018,Cinza,França,26917,Novo
Volkswagen,Polo,2022,Preto,Itália,42907,Novo
Ford,Kuga,2021,Branco,Reino Unido,26677,Novo
Mercedes,Classe C,2020,Branco,Polônia,85427,Novo
Renault,Clio,2020,Preto,Itália,20966,Novo
Mercedes,Classe A,2022,Preto,Polônia,66839,Novo
Fiat,Panda,2021,Prata,Polônia,15412,Novo
Renault,Clio,2022,Cinza,Polônia,30965,Novo
Fiat,500,2019,Preto,Polônia,15970,Novo
Mercedes,Classe C,2018,Cinza,Reino Unido,37746,Novo
Mercedes,Classe A,2022,Preto,Polônia,30951,Novo
Peugeot,5008,2018,Branco,Países Baixos,21224,Novo
Renault,Megane,2018,Vermelho,Itália,31431,Novo
Peugeot,208,2022,Branco,Países Baixos,16801,Novo
Fiat,Punto,2020,Preto,Portugal,24542,Novo
Ford,Mondeo,2018,Vermelho,Espanha,27964,Novo
Renault,Captur,2021,Preto,Alemanha,18235,Novo
Mercedes,GLC,2019,Vermelho,Reino Unido,60848,Novo
Volkswagen,Passat,2020,Azul,Alemanha,30677,Novo
Fiat,Tipo,2020,Azul,Países Baixos,19315,Novo
BMW,X3,2019,Vermelho,Alemanha,64949,Novo
Ford,Mondeo,2021,Branco,Reino Unido,28997,Novo
Volkswagen,Golf,2022,Branco,Países Baixos,24661,Novo
Peugeot,308,2021,Preto,Polônia,19118,Novo
Ford,Fiesta,2021,Preto,França,24601,Novo
Ford,Focus,2020,Cinza,Países Baixos,20380,Novo
Fiat,Panda,2022,Verde,Espanha,13258,Novo
BMW,Serie 5,2018,Prata,França,46914,Novo
Peugeot,3008,2020,Vermelho,França,18716,Novo
Fiat,Panda,2021,Branco,Reino Unido,25318,Novo
Ford,Focus,2018,Verde,França,26702,Novo
Renault,Talisman,2018,Azul,Reino Unido,17470,Novo
Ford,Mondeo,2021,Vermelho,Alemanha,32317,Novo
Volkswagen,Golf,2021,Prata,Reino Unido,30645,Novo
Peugeot,308,2021,Vermelho,Itália,27490,Novo
Mercedes,GLC,2021,Preto,França,51952,Novo
Peugeot,208,2021,Azul,Alemanha,25409,Novo
Mercedes,Classe A,2018,Cinza,Reino Unido,34051,Novo
Peugeot,3008,2019,Vermelho,Países Baixos,21204,Novo
Mercedes,GLC,2021,Preto,Polônia,81586,Novo
Renault,Captur,2020,Azul,Reino Unido,18944,Novo
Volkswagen,Polo,2021,Cinza,Espanha,34722,Novo
Fiat,Tipo,2022,Preto,Portugal,24272,Novo
Fiat,Punto,2019,Branco,Portugal,23992,Novo
Audi,Q3,2019,Branco,Países Baixos,75266,Novo
Peugeot,3008,2021,Azul,Espanha,36517,Novo
Volkswagen,Golf,2018,Cinza,França,43330,Novo
Volkswagen,Passat,2021,Preto,Alemanha,24550,Novo
Volkswagen,Polo,2021,Prata,Portugal,39692,Novo
Volkswagen,Golf,2021,Cinza,Espanha,18183,Novo
BMW,Serie 1,2020,Cinza,Portugal,38719,Novo
Peugeot,208,2022,Branco,Alemanha,38604,Novo
Audi,Q5,2021,Cinza,Espanha,41280,Novo
Volkswagen,Polo,2022,Branco,Países Baixos,28980,Novo
Mercedes,GLC,2020,Preto,França,87206,Novo
Fiat,Panda,2021,Cinza,França,23897,Novo
Mercedes,GLC,2019,Prata,Alemanha,38517,Novo
Audi,Q5,2018,Vermelho,Reino Unido,77587,Novo
Peugeot,208,2022,Azul,Países Baixos,39083,Novo
BMW,Serie 3,2020,Cinza,Portugal,37525,Novo
BMW,X3,2018,Preto,Portugal,42168,Novo
Peugeot,308,2021,Vermelho,Alemanha,31201,Novo
BMW,Serie 3,2019,Cinza,Polônia,55300,Novo
Mercedes,Classe C,2020,Prata,Países Baixos,67842,Novo
Volkswagen,Golf,2020,Preto,Alemanha,32319,Novo
Fiat,Punto,2021,Cinza,Polônia,21221,Novo
Volkswagen,Passat,2020,Preto,Reino Unido,41511,Novo
Audi,Q3,2019,Branco,Espanha,63297,Novo
Audi,Q3,2018,Preto,Itália,52422,Novo
Volkswagen,Golf,2022,Preto,Itália,27686,Novo
Renault,Captur,2018,Prata,França,22638,Novo
Volkswagen,Polo,2022,Preto,França,19844,Novo
Ford,Fiesta,2018,Azul,Polônia,23934,Novo
Fiat,Panda,2019,Branco,França,18026,Novo
Peugeot,308,2020,Azul,Reino Unido,18915,Novo
Peugeot,208,2018,Vermelho,Portugal,39190,Novo
Peugeot,308,2019,Prata,Portugal,38329,Novo
Fiat,Punto,2020,Branco,Espanha,14529,Novo
BMW,Serie 5,2018,Prata,Espanha,48730,Novo
BMW,X3,2021,Vermelho,Portugal,69184,Novo
Mercedes,GLC,2018,Azul,Alemanha,36803,Novo
Fiat,Punto,2019,Cinza,França,14080,Novo
Renault,Megane,2020,Vermelho,Itália,30482,Novo
Mercedes,Classe C,2019,Cinza,Polônia,35857,Novo
Ford,Fiesta,2019,Preto,Itália,22388,Novo
Mercedes,GLA,2020,Branco,Alemanha,39174,Novo
Ford,Focus,2020,Preto,Polônia,24595,Novo
Fiat,500,2019,Preto,Reino Unido,15711,Novo
BMW,Serie 1,2020,Verde,França,49254,Novo
Mercedes,GLC,2020,Azul,Polônia,48048,Novo
Peugeot,308,2020,Preto,Espanha,32873,Novo
Peugeot,208,2022,Cinza,Alemanha,36736,Novo
Fiat,Punto,2018,Preto,Portugal,25908,Novo
Ford,Fiesta,2021,Vermelho,Países Baixos,21202,Novo
Ford,Fiesta,2020,Prata,Itália,18663,Novo
Ford,Fiesta,2021,Verde,Reino Unido,28640,Novo
Peugeot,3008,2018,Prata,Polônia,23811,Novo
Mercedes,GLA,2018,Azul,Alemanha,36801,Novo
BMW,Serie 5,2019,Preto,Portugal,54266,Novo
Peugeot,3008,2021,Prata,Reino Unido,21514,Novo
Volkswagen,Passat,2019,Cinza,Espanha,29380,Novo
Fiat,Punto,2019,Azul,Itália,20851,Novo
Ford,Kuga,2020,Vermelho,Espanha,23047,Novo
Fiat,Punto,2021,Preto,Portugal,14770,Novo
Audi,Q5,2021,Branco,Espanha,71650,Novo
Peugeot,308,2020,Azul,Países Baixos,25583,Novo
Fiat,Tipo,2021,Cinza,Alemanha,20192,Novo
Peugeot,3008,2020,Branco,Reino Unido,23802,Novo
Mercedes,Classe C,2020,Preto,Polônia,89563,Novo
Fiat,Panda,2020,Prata,Países Baixos,20858,Novo
Fiat,Panda,2022,Prata,Alemanha,20734,Novo
Peugeot,3008,2021,Vermelho,Portugal,24191,Novo
Fiat,Tipo,2019,Branco,Espanha,19082,Novo
Fiat,Punto,2018,Cinza,Portugal,13328,Novo
Renault,Talisman,2020,Azul,Itália,16645,Novo
Mercedes,Classe A,2018,Branco,Alemanha,30675,Novo
Renault,Clio,2019,Prata,Portugal,27597,Novo
Mercedes,Classe C,2020,Branco,Espanha,43452,Novo
Peugeot,5008,2019,Preto,Portugal,24419,Novo
Ford,Focus,2020,Cinza,Itália,23090,Novo
Mercedes,GLA,2022,Preto,França,84054,Novo
Audi,A3,2020,Prata,Portugal,41909,Novo
Audi,A4,2020,Verde,Alemanha,33615,Novo
Fiat,500,2022,Branco,Países Baixos,20406,Novo
Audi,A4,2021,Prata,Polônia,61372,Novo
Mercedes,GLA,2022,Cinza,França,82225,Novo
Volkswagen,Tiguan,2022,Branco,Polônia,40465,Novo
Renault,Clio,2018,Preto,Reino Unido,22277,Novo
Audi,A3,2018,Vermelho,Alemanha,61858,Novo
Fiat,Punto,2022,Prata,Alemanha,23929,Novo
Mercedes,Classe A,2018,Cinza,Alemanha,74329,Novo
Mercedes,Classe C,2019,Branco,Polônia,51694,Novo
Renault,Clio,2018,Prata,França,24965,Novo
Peugeot,308,2019,Preto,Portugal,33135,Novo
Volkswagen,Passat,2022,Cinza,Itália,42776,Novo
Renault,Talisman,2020,Branco,Espanha,31757,Novo
Peugeot,308,2022,Branco,Portugal,35979,Novo
Fiat,Tipo,2022,Preto,Polônia,19691,Novo
Fiat,Punto,2022,Cinza,Itália,18035,Novo
Volkswagen,Golf,2019,Azul,Alemanha,32224,Novo
Volkswagen,Golf,2020,Prata,Polônia,30375,Novo
Mercedes,GLA,2021,Azul,Países Baixos,69677,Novo
BMW,Serie 5,2018,Branco,França,43404,Novo
Peugeot,208,2021,Prata,França,20507,Novo
Fiat,Tipo,2022,Azul,Reino Unido,21427,Novo
Fiat,Tipo,2019,Vermelho,França,25988,Novo
Renault,Megane,2021,Prata,Alemanha,27138,Novo
Renault,Captur,2022,Preto,França,33095,Novo
Ford,Mondeo,2022,Azul,Espanha,31966,Novo
BMW,Serie 3,2020,Preto,Portugal,47479,Novo
Peugeot,5008,2021,Branco,Portugal,29422,Novo
Peugeot,208,2021,Branco,Países Baixos,34891,Novo
Fiat,Tipo,2020,Branco,Portugal,20554,Novo
Audi,A4,2018,Preto,Polônia,49472,Novo
Audi,A3,2019,Preto,Portugal,70072,Novo
BMW,Serie 3,2022,Cinza,Espanha,64041,Novo
Renault,Megane,2021,Azul,Polônia,23758,Novo
Ford,Fiesta,2018,Vermelho,Países Baixos,30393,Novo
Peugeot,3008,2018,Verde,Países Baixos,34009,Novo
BMW,Serie 3,2021,Cinza,Polônia,56111,Novo
Mercedes,Classe A,2021,Vermelho,Reino Unido,40369,Novo
Mercedes,GLA,2022,Vermelho,Polônia,37601,Novo
Volkswagen,Polo,2020,Preto,Países Baixos,20800,Novo
Fiat,Panda,2022,Vermelho,Espanha,27888,Novo
Ford,Fiesta,2018,Cinza,França,39736,Novo
Peugeot,308,2018,Azul,Polônia,36571,Novo
Peugeot,308,2018,Branco,Portugal,16717,Novo
Volkswagen,Golf,2018,Cinza,França,39278,Novo
BMW,X3,2022,Vermelho,França,51550,Novo
BMW,X3,2022,Preto,Portugal,57069,Novo
Volkswagen,Golf,2022,Azul,Reino Unido,35340,Novo
Mercedes,GLA,2020,Preto,Portugal,76280,Novo
Peugeot,308,2020,Prata,Polônia,18751,Novo
Mercedes,GLA,2022,Cinza,Espanha,43416,Novo
BMW,Serie 3,2019,Vermelho,França,49562,Novo
Volkswagen,Tiguan,2021,Preto,Itália,18308,Novo
Ford,Kuga,2019,Cinza,Itália,36698,Novo
Renault,Talisman,2020,Branco,Portugal,17944,Novo
Audi,A3,2021,Vermelho,Espanha,81380,Novo
Renault,Megane,2019,Vermelho,Países Baixos,18677,Novo
Mercedes,GLA,2022,Branco,Países Baixos,39309,Novo
Fiat,500,2018,Verde,Espanha,26681,Novo
Renault,Captur,2018,Preto,Espanha,23498,Novo
Audi,Q3,2018,Branco,Alemanha,33751,Novo
Fiat,Tipo,2018,Cinza,Itália,26749,Novo
Renault,Captur,2021,Preto,França,26953,Novo
BMW,X1,2022,Preto,Alemanha,77177,Novo
BMW,Serie 1,2018,Prata,Espanha,41784,Novo
Renault,Talisman,2022,Azul,Portugal,23165,Novo
Renault,Clio,2021,Prata,Itália,28102,Novo
Volkswagen,Tiguan,2022,Azul,Países Baixos,37283,Novo
Fiat,500,2018,Branco,Portugal,13197,Novo
Audi,Q5,2021,Preto,Portugal,69243,Novo
Renault,Talisman,2022,Preto,Países Baixos,31863,Novo
Fiat,Tipo,2019,Verde,França,25217,Novo
Volkswagen,Golf,2019,Cinza,França,27898,Novo
Volkswagen,Passat,2019,Preto,Portugal,44844,Novo
Audi,Q5,2019,Prata,Itália,81450,Novo
Peugeot,208,2018,Branco,Polônia,34704,Novo
Mercedes,Classe A,2022,Preto,Itália,43740,Novo
Mercedes,Classe C,2018,Branco,Polônia,86707,Novo
Volkswagen,Golf,2022,Prata,Alemanha,26994,Novo
BMW,X3,2021,Preto,França,47310,Novo
BMW,X3,2021,Verde,França,33212,Novo
Audi,A4,2022,Preto,Reino Unido,72535,Novo
Peugeot,3008,2022,Preto,Espanha,24731,Novo
Peugeot,5008,2022,Preto,Portugal,37613,Novo
Renault,Talisman,2020,Preto,França,34012,Novo
Ford,Mondeo,2020,Preto,Reino Unido,26198,Novo
BMW,X1,2019,Cinza,Polônia,58980,Novo
Mercedes,GLC,2020,Vermelho,França,77792,Novo
Fiat,Panda,2020,Azul,Alemanha,16001,Novo
BMW,Serie 3,2020,Cinza,Itália,52661,Novo
Mercedes,Classe A,2019,Preto,Espanha,34102,Novo
Volkswagen,Polo,2018,Cinza,Países Baixos,34166,Novo
Volkswagen,Polo,2020,Verde,Países Baixos,21866,Novo
Mercedes,GLC,2021,Preto,Portugal,63146,Novo
BMW,Serie 5,2022,Branco,Itália,42356,Novo
Audi,Q5,2019,Branco,Alemanha,55622,Novo
Mercedes,GLA,2022,Verde,França,53030,Novo
Audi,A4,2018,Cinza,Reino Unido,55862,Novo
BMW,Serie 3,2022,Branco,Alemanha,48533,Novo
Ford,Focus,2021,Preto,Países Baixos,24446,Novo
Mercedes,Classe A,2019,Branco,Itália,39005,Novo
BMW,Serie 5,2019,Prata,Itália,40187,Novo
Audi,A3,2022,Prata,Itália,44948,Novo
Ford,Kuga,2019,Cinza,Polônia,22155,Novo
Mercedes,Classe A,2020,Prata,Itália,81024,Novo
Ford,Kuga,2022,Prata,França,21813,Novo
Ford,Mondeo,2019,Vermelho,Polônia,34036,Novo
