Marca,Modelo,Ano,Cor,País,Preço (€),Quilometragem (km),Tipo
Volkswagen,Tiguan,2016,Cinza,Alemanha,42001,83477,Usado
Ford,Focus,2004,Cinza,Polônia,42756,52362,Usado
Volkswagen,Polo,2017,Cinza,Portugal,25422,145937,Usado
Renault,Megane,2012,Azul,Espanha,11512,137414,Usado
Peugeot,208,2016,Preto,Polônia,17231,102829,Usado
Audi,Q3,2016,Prata,Espanha,3235,47929,Usado
Fiat,Panda,2010,Prata,Espanha,11162,129450,Usado
Volkswagen,Tiguan,2021,Preto,Portugal,11007,177904,Usado
Peugeot,308,2002,Preto,Portugal,22282,160002,Usado
Fiat,Tipo,2003,Branco,França,21520,48303,Usado
Ford,Kuga,2007,Branco,Itália,10804,208173,Usado
Volkswagen,Passat,2014,Cinza,Alemanha,37016,16246,Usado
Audi,A4,2013,Preto,Países Baixos,7018,16302,Usado
Mercedes,Classe C,2005,Branco,Itália,27519,232881,Usado
Ford,Mondeo,2014,Prata,Alemanha,28053,145518,Usado
Mercedes,GLC,2005,Vermelho,Portugal,35154,218942,Usado
Volkswagen,Polo,2003,Cinza,França,40380,248322,Usado
BMW,Serie 1,2021,Vermelho,Polônia,32486,76907,Usado
Peugeot,5008,2019,Branco,Portugal,23103,69772,Usado
Peugeot,3008,2003,Azul,França,51538,152550,Usado
Mercedes,GLA,2003,Cinza,Itália,37884,76315,Usado
Mercedes,Classe C,2009,Branco,Reino Unido,15999,60318,Usado
Audi,A4,2013,Cinza,França,13380,78319,Usado
Fiat,Tipo,2000,Preto,Espanha,30306,221523,Usado
Renault,Talisman,2015,Azul,Países Baixos,56028,109263,Usado
Audi,A4,2016,Cinza,França,58176,222138,Usado
Peugeot,308,2007,Vermelho,Itália,16718,39560,Usado
Fiat,Panda,2020,Preto,Espanha,55182,24256,Usado
Volkswagen,Passat,2021,Cinza,Países Baixos,5708,147766,Usado
Volkswagen,Golf,2008,Preto,Alemanha,39980,102945,Usado
Volkswagen,Passat,2019,Cinza,Itália,10973,144649,Usado
Audi,A4,2001,Prata,Países Baixos,48994,46914,Usado
Renault,Captur,2018,Branco,Alemanha,4990,206907,Usado
Fiat,Panda,2000,Branco,Polônia,7757,24097,Usado
Renault,Megane,2020,Cinza,Alemanha,49163,24816,Usado
Volkswagen,Tiguan,2021,Prata,Polônia,12916,67823,Usado
Volkswagen,Passat,2000,Branco,Reino Unido,29838,138554,Usado
Mercedes,GLC,2018,Branco,Reino Unido,30952,222516,Usado
Peugeot,308,2015,Cinza,França,36536,69077,Usado
Mercedes,GLA,2017,Cinza,Espanha,41000,31737,Usado
Fiat,Tipo,2018,Preto,Alemanha,55487,134948,Usado
Audi,Q3,2002,Branco,França,13093,125993,Usado
Renault,Clio,2022,Verde,Países Baixos,22846,217316,Usado
Ford,Fiesta,2022,Branco,Polônia,13682,68230,Usado
Peugeot,5008,2021,Branco,Portugal,9722,44986,Usado
Volkswagen,Tiguan,2014,Azul,Itália,37911,92127,Usado
Fiat,Punto,2013,Vermelho,Espanha,57771,242732,Usado
Fiat,Panda,2013,Branco,Países Baixos,50057,11150,Usado
BMW,Serie 1,2022,Vermelho,Países Baixos,39220,177946,Usado
Renault,Clio,2017,Prata,Polônia,26236,92955,Usado
Mercedes,Classe C,2001,Branco,Polônia,56643,121243,Usado
Peugeot,208,2005,Vermelho,Alemanha,10083,125674,Usado
Renault,Megane,2021,Vermelho,Alemanha,51285,24063,Usado
Mercedes,Classe C,2022,Vermelho,Alemanha,31529,40954,Usado
Volkswagen,Polo,2008,Cinza,Portugal,37072,65774,Usado
Volkswagen,Polo,2021,Vermelho,Espanha,58961,243009,Usado
Peugeot,208,2001,Branco,Itália,59133,233497,Usado
Ford,Fiesta,2009,Cinza,Reino Unido,29657,176024,Usado
Peugeot,208,2005,Vermelho,Polônia,51756,45809,Usado
Fiat,Panda,2005,Azul,França,33987,182900,Usado
Volkswagen,Golf,2006,Cinza,Alemanha,38737,106332,Usado
Renault,Megane,2013,Preto,Espanha,41709,197192,Usado
Mercedes,Classe A,2003,Vermelho,Portugal,56002,94599,Usado
Renault,Clio,2006,Cinza,Reino Unido,31769,189374,Usado
Audi,Q5,2021,Preto,Países Baixos,24792,64129,Usado
Renault,Captur,2019,Preto,Espanha,18850,148184,Usado
Fiat,500,2012,Preto,Alemanha,35921,241993,Usado
Peugeot,208,2008,Branco,Alemanha,37008,136132,Usado
Mercedes,GLC,2009,Cinza,Itália,48186,33145,Usado
Peugeot,5008,2011,Verde,Reino Unido,26393,28051,Usado
Mercedes,Classe A,2011,Vermelho,Alemanha,38772,157592,Usado
BMW,Serie 1,2022,Cinza,Espanha,4341,180695,Usado
Ford,Kuga,2007,Azul,Alemanha,4750,190828,Usado
Fiat,Punto,2005,Verde,França,57539,82454,Usado
Mercedes,Classe C,2008,Prata,Polônia,30935,42641,Usado
Ford,Kuga,2016,Preto,Portugal,22541,99457,Usado
Audi,A4,2014,Azul,Alemanha,14122,85559,Usado
Ford,Focus,2022,Vermelho,Polônia,57237,56571,Usado
Audi,Q3,2017,Cinza,Polônia,24776,94613,Usado
Audi,Q5,2002,Cinza,Portugal,16409,218122,Usado
Peugeot,3008,2007,Cinza,Polônia,15651,177070,Usado
Audi,Q5,2016,Cinza,Reino Unido,53072,12564,Usado
BMW,Serie 1,2015,Branco,Espanha,18229,115017,Usado
Audi,Q3,2009,Verde,Itália,32430,211604,Usado
Peugeot,308,2002,Preto,Reino Unido,19371,50084,Usado
Fiat,Panda,2020,Cinza,Países Baixos,22895,88691,Usado
Audi,A3,2009,Preto,Polônia,6430,148748,Usado
Volkswagen,Polo,2016,Preto,Reino Unido,27951,37413,Usado
BMW,X1,2017,Branco,Alemanha,28280,226165,Usado
Audi,A3,2014,Branco,Países Baixos,12155,233491,Usado
Mercedes,Classe C,2004,Vermelho,Itália,35123,173645,Usado
Audi,Q5,2013,Cinza,Reino Unido,37636,216169,Usado
Volkswagen,Passat,2019,Preto,Países Baixos,59979,217542,Usado
Fiat,Panda,2018,Cinza,França,43042,66665,Usado
Volkswagen,Polo,2008,Preto,Itália,17199,123533,Usado
Peugeot,208,2021,Verde,Alemanha,49600,81898,Usado
Renault,Megane,2016,Preto,França,21850,161497,Usado
Fiat,Panda,2002,Vermelho,Reino Unido,57028,12287,Usado
Peugeot,3008,2008,Prata,Portugal,47641,153746,Usado
Volkswagen,Tiguan,2002,Branco,Portugal,20602,108320,Usado
BMW,X1,2009,Vermelho,Países Baixos,45520,69772,Usado
Mercedes,GLA,2001,Branco,Polônia,7133,216271,Usado
Mercedes,Classe A,2015,Cinza,Reino Unido,43996,131267,Usado
Ford,Fiesta,2004,Verde,França,12516,248935,Usado
Fiat,Panda,2018,Vermelho,Países Baixos,14303,166633,Usado
Ford,Kuga,2012,Branco,Reino Unido,23695,12314,Usado
Ford,Mondeo,2000,Preto,Países Baixos,21088,110228,Usado
Mercedes,Classe A,2020,Azul,Polônia,6738,138541,Usado
Renault,Captur,2004,Prata,França,5808,54138,Usado
Audi,Q3,2009,Preto,Itália,14700,172581,Usado
Audi,Q3,2017,Vermelho,Reino Unido,29588,96659,Usado
Audi,A4,2012,Cinza,Alemanha,37832,168038,Usado
BMW,X1,2012,Vermelho,Reino Unido,13706,183589,Usado
Audi,A4,2008,Verde,Polônia,4435,234947,Usado
Audi,A4,2004,Preto,Espanha,10059,88807,Usado
Renault,Megane,2003,Branco,Alemanha,17859,128797,Usado
Volkswagen,Polo,2021,Branco,França,14383,119682,Usado
BMW,Serie 3,2013,Verde,Portugal,24195,82475,Usado
Mercedes,GLA,2019,Vermelho,Polônia,47064,12813,Usado
Audi,Q3,2018,Branco,Polônia,47569,16745,Usado
Fiat,Tipo,2003,Branco,Portugal,35232,218030,Usado
Audi,Q3,2010,Branco,França,49766,83797,Usado
Renault,Megane,2010,Branco,Alemanha,47413,249459,Usado
Ford,Mondeo,2020,Prata,Portugal,31602,189403,Usado
Fiat,500,2004,Verde,Alemanha,15857,246531,Usado
Fiat,500,2001,Preto,Países Baixos,22440,243360,Usado
Ford,Mondeo,2017,Prata,Países Baixos,22994,235983,Usado
Renault,Megane,2016,Preto,Países Baixos,11782,87970,Usado
Fiat,Tipo,2019,Preto,Portugal,20343,174899,Usado
Peugeot,5008,2002,Preto,Polônia,6224,52837,Usado
Fiat,500,2016,Cinza,Espanha,37531,13712,Usado
Fiat,Punto,2021,Cinza,Portugal,38201,59615,Usado
Ford,Kuga,2012,Preto,Portugal,29589,166087,Usado
BMW,Serie 5,2012,Vermelho,Espanha,23581,188720,Usado
Ford,Kuga,2021,Azul,Alemanha,46408,44499,Usado
Volkswagen,Polo,2014,Cinza,Reino Unido,33811,53787,Usado
Volkswagen,Polo,2007,Preto,Espanha,52153,11368,Usado
Volkswagen,Golf,2012,Preto,Portugal,50219,61985,Usado
Fiat,500,2001,Verde,França,53861,80897,Usado
BMW,Serie 3,2009,Preto,Alemanha,54047,76626,Usado
Peugeot,3008,2005,Cinza,Alemanha,29015,38320,Usado
BMW,X1,2007,Prata,Espanha,6389,161755,Usado
Fiat,500,2006,Azul,Países Baixos,3899,16653,Usado
BMW,Serie 3,2002,Preto,Espanha,32545,41877,Usado
Mercedes,Classe C,2021,Cinza,Espanha,4560,84148,Usado
Mercedes,Classe C,2018,Verde,Espanha,7780,219919,Usado
Peugeot,3008,2020,Azul,Itália,27363,25049,Usado
Fiat,Tipo,2018,Branco,Países Baixos,5920,227266,Usado
Mercedes,GLC,2009,Branco,Portugal,42004,21309,Usado
Audi,Q3,2000,Vermelho,Alemanha,10005,117340,Usado
Audi,A4,2019,Cinza,Espanha,28963,106757,Usado
Renault,Talisman,2017,Prata,Países Baixos,9563,161921,Usado
Peugeot,308,2003,Prata,França,14171,129677,Usado
Audi,A4,2018,Cinza,Reino Unido,24116,133267,Usado
Mercedes,Classe A,2017,Azul,Polônia,30490,24975,Usado
Renault,Talisman,2022,Azul,Reino Unido,25861,185225,Usado
Audi,A3,2004,Preto,Alemanha,38133,186749,Usado
Renault,Clio,2014,Cinza,Polônia,50064,106459,Usado
BMW,Serie 1,2001,Prata,Portugal,46006,149832,Usado
Ford,Mondeo,2003,Verde,Polônia,42198,123154,Usado
BMW,Serie 5,2021,Preto,França,8724,125585,Usado
Renault,Megane,2008,Cinza,Espanha,41663,84530,Usado
Renault,Clio,2021,Preto,Alemanha,38946,60204,Usado
Audi,A3,2011,Cinza,Alemanha,12847,31155,Usado
Ford,Mondeo,2014,Prata,Espanha,20658,186180,Usado
Renault,Megane,2013,Preto,Polônia,28892,96155,Usado
BMW,X3,2000,Preto,Reino Unido,13724,164476,Usado
Mercedes,Classe A,2000,Cinza,Reino Unido,28611,124273,Usado
Renault,Clio,2017,Verde,Itália,3125,131945,Usado
Volkswagen,Polo,2006,Cinza,Polônia,9570,73785,Usado
Audi,Q5,2005,Preto,Países Baixos,41525,37556,Usado
Renault,Talisman,2017,Preto,Polônia,59327,15225,Usado
Peugeot,208,2022,Azul,Países Baixos,16669,173452,Usado
Audi,A4,2014,Azul,Polônia,41006,151649,Usado
Mercedes,Classe C,2017,Branco,França,39487,201910,Usado
Ford,Fiesta,2011,Preto,Alemanha,57061,166731,Usado
Volkswagen,Golf,2018,Prata,Reino Unido,22508,178359,Usado
Peugeot,208,2001,Verde,Reino Unido,52726,10704,Usado
Volkswagen,Golf,2015,Vermelho,Portugal,22614,202096,Usado
Mercedes,GLC,2001,Branco,Reino Unido,4667,227821,Usado
Mercedes,Classe C,2001,Vermelho,Alemanha,51406,161498,Usado
Peugeot,3008,2000,Preto,Reino Unido,52606,96736,Usado
Peugeot,3008,2000,Branco,Polônia,37958,145180,Usado
Mercedes,GLC,2000,Branco,Alemanha,34010,158515,Usado
Fiat,Tipo,2010,Cinza,Reino Unido,59269,196305,Usado
BMW,Serie 1,2002,Cinza,Países Baixos,38631,245069,Usado
Renault,Clio,2011,Preto,Países Baixos,14556,163670,Usado
Renault,Talisman,2014,Branco,Polônia,57597,217781,Usado
BMW,X1,2010,Preto,Polônia,44974,206039,Usado
Audi,A3,2014,Branco,Itália,39914,115350,Usado
Renault,Clio,2012,Branco,França,49413,142084,Usado
Renault,Talisman,2020,Branco,Itália,45652,208502,Usado
Renault,Captur,2007,Branco,Espanha,45641,17289,Usado
Volkswagen,Golf,2003,Vermelho,Reino Unido,55682,235662,Usado
Audi,Q5,2009,Vermelho,Polônia,6654,225094,Usado
Ford,Fiesta,2009,Preto,Países Baixos,27611,124891,Usado
Renault,Megane,2006,Vermelho,Espanha,8495,47668,Usado
BMW,Serie 5,2012,Cinza,Reino Unido,37068,224861,Usado
Renault,Clio,2008,Azul,Países Baixos,13617,240128,Usado
Peugeot,308,2007,Vermelho,Alemanha,38993,132834,Usado
Peugeot,5008,2017,Azul,Espanha,10227,167982,Usado
BMW,Serie 1,2017,Vermelho,França,6040,244030,Usado
BMW,X3,2014,Branco,Espanha,20633,230952,Usado
Audi,A3,2016,Preto,Portugal,19014,97578,Usado
Renault,Captur,2010,Branco,Reino Unido,53252,241028,Usado
Volkswagen,Polo,2001,Branco,Polônia,31482,129457,Usado
Fiat,Panda,2006,Azul,Itália,47311,165443,Usado
Fiat,500,2003,Azul,França,34007,227374,Usado
Peugeot,308,2003,Preto,Alemanha,10843,150282,Usado
Volkswagen,Tiguan,2000,Branco,Alemanha,52859,121492,Usado
Volkswagen,Tiguan,2001,Azul,Espanha,39378,140327,Usado
Peugeot,5008,2005,Cinza,Itália,43747,236804,Usado
BMW,Serie 5,2021,Azul,Polônia,57443,155273,Usado
Fiat,Panda,2002,Azul,Reino Unido,56363,102543,Usado
Fiat,Punto,2003,Verde,Portugal,13526,73910,Usado
Volkswagen,Passat,2015,Branco,Reino Unido,36400,129982,Usado
Ford,Mondeo,2016,Branco,Países Baixos,42891,146826,Usado
Ford,Focus,2012,Preto,Itália,51231,34301,Usado
Peugeot,5008,2007,Vermelho,Alemanha,35376,218277,Usado
Peugeot,5008,2005,Branco,Países Baixos,29342,9895,Usado
Volkswagen,Golf,2015,Cinza,Espanha,22169,123413,Usado
Renault,Clio,2022,Branco,França,21792,40585,Usado
Mercedes,Classe A,2008,Cinza,Itália,41067,178757,Usado
Audi,A4,2003,Prata,Reino Unido,20826,95517,Usado
Mercedes,GLA,2021,Cinza,Espanha,39875,233590,Usado
Volkswagen,Polo,2005,Vermelho,Itália,14421,196703,Usado
BMW,Serie 5,2015,Preto,Reino Unido,11264,83222,Usado
Peugeot,3008,2001,Preto,Itália,10373,109211,Usado
BMW,Serie 3,2001,Preto,Reino Unido,32984,123947,Usado
Audi,A4,2000,Cinza,Reino Unido,11429,150788,Usado
Renault,Captur,2002,Branco,Alemanha,8772,184316,Usado
BMW,X3,2001,Cinza,Polônia,49659,45108,Usado
Renault,Talisman,2012,Prata,Espanha,57929,188260,Usado
Renault,Captur,2005,Preto,Itália,23733,65545,Usado
Renault,Captur,2018,Branco,Portugal,45913,102033,Usado
Volkswagen,Polo,2010,Vermelho,Polônia,57327,231766,Usado
Volkswagen,Passat,2018,Preto,Portugal,8448,186403,Usado
Fiat,Tipo,2018,Preto,Países Baixos,26291,46568,Usado
Renault,Talisman,2006,Branco,Portugal,4382,170243,Usado
Renault,Clio,2019,Azul,Reino Unido,55454,62009,Usado
Audi,A3,2019,Branco,Países Baixos,54196,216426,Usado
Audi,Q3,2021,Vermelho,Portugal,41908,81373,Usado
Peugeot,308,2022,Branco,Itália,9548,121981,Usado
Fiat,500,2020,Vermelho,França,58159,141614,Usado
Peugeot,208,2012,Preto,França,50596,192604,Usado
Peugeot,308,2004,Verde,Espanha,44424,245610,Usado
Volkswagen,Tiguan,2010,Cinza,Espanha,58039,34300,Usado
BMW,X1,2001,Branco,Espanha,36361,26223,Usado
Mercedes,Classe A,2019,Prata,França,58316,200113,Usado
Peugeot,208,2008,Preto,Países Baixos,36160,95536,Usado
Volkswagen,Polo,2015,Branco,França,27817,156353,Usado
Ford,Mondeo,2007,Cinza,Itália,30425,164674,Usado
Fiat,Punto,2016,Cinza,Espanha,56078,161503,Usado
Peugeot,3008,2004,Azul,Alemanha,25614,228332,Usado
Ford,Fiesta,2007,Preto,Itália,39224,12788,Usado
Mercedes,GLC,2002,Preto,Portugal,19531,93340,Usado
Ford,Focus,2013,Verde,Espanha,48454,239706,Usado
Audi,Q3,2018,Preto,Portugal,44732,109797,Usado
Fiat,Punto,2007,Branco,Reino Unido,31270,83815,Usado
Ford,Mondeo,2016,Branco,Países Baixos,38144,188233,Usado
Audi,A4,2002,Preto,Reino Unido,9979,162261,Usado
Volkswagen,Golf,2022,Preto,França,49857,39964,Usado
Renault,Talisman,2007,Preto,Portugal,45676,44071,Usado
Audi,Q5,2001,Preto,Polônia,26953,31806,Usado
Volkswagen,Golf,2007,Cinza,Espanha,52145,110432,Usado
BMW,X1,2019,Preto,Países Baixos,36453,89080,Usado
Ford,Fiesta,2002,Azul,Reino Unido,51758,81272,Usado
Renault,Clio,2014,Branco,Portugal,42933,130588,Usado
Fiat,Punto,2013,Azul,Polônia,32334,150643,Usado
Ford,Kuga,2021,Vermelho,Alemanha,46541,28387,Usado
Peugeot,208,2017,Preto,Portugal,56710,60731,Usado
Mercedes,Classe C,2014,Cinza,Países Baixos,32739,62804,Usado
Fiat,500,2004,Cinza,Países Baixos,11706,13894,Usado
Fiat,500,2022,Azul,Polônia,42019,14496,Usado
Ford,Fiesta,2014,Preto,França,39495,201167,Usado
Volkswagen,Tiguan,2004,Prata,Espanha,51231,199018,Usado
Ford,Mondeo,2009,Azul,Alemanha,6081,170268,Usado
Ford,Focus,2006,Cinza,França,34656,72695,Usado
Peugeot,208,2019,Cinza,França,22033,146877,Usado
Renault,Clio,2013,Preto,França,43372,94464,Usado
Renault,Captur,2015,Preto,Polônia,57341,17087,Usado
Mercedes,Classe A,2003,Branco,Espanha,45003,23313,Usado
Ford,Focus,2002,Preto,Reino Unido,41356,214717,Usado
